name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
DrawSky,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,1139,898711779,10.680313,1000,898711,511549,19560062,607653.460530
Editor::TickPostRender,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,644,17289,0.000205,168,102,41,4083,456.168966
Gui::NewFrame,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,618,11695283,0.138987,1000,11695,3833,670179,21346.476205
Jolt::Update,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PhysicsWorld.cpp,308,19058632,0.226493,191,99783,34518,388938,40333.569430
DrawOcean,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,1193,241314017,2.867782,1000,241314,151088,1632808,60684.530365
TickUpdate,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PhysicsWorld.cpp,328,1934059,0.022984,1000,1934,1334,8310,572.176005
Editor::Tick,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,626,24147,0.000287,244,98,18,4250,440.009161
Lua+Render,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,630,1759409093,20.908861,1000,1759409,1149335,29605743,903907.032734
Execute,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,109,1756098973,20.869524,1000,1756098,1144043,29591125,903547.251819
Execute,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,158,1658948497,19.714985,6960,238354,41,19560771,389248.964214
Engine::Update,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,634,2505030,0.029770,1000,2505,1708,11125,908.006178
Gui::Render,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,655,3633816,0.043184,1000,3633,2250,69285,2498.813738
Culling,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,136,39556238,0.470087,1000,39556,26851,129171,11029.629325
DrawCascadedShadowMap,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Pipeline.cpp,529,48470493,0.576025,1000,48470,32393,229707,7205.070107
RunPostProcessChain,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,1502,52121258,0.619410,1000,52121,32934,2979498,92844.077788
DrawDirLight,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PrelightPipeline.cpp,872,70984772,0.843585,1000,70984,46411,545567,16395.332722
SyncNodes,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PhysicsWorld.cpp,337,1863821,0.022150,1000,1863,1209,6625,390.147488
FixedUpdate,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/Engine.cpp,585,25282899,0.300463,1000,25282,41,5026634,164593.682208
TickFixed,/Users/sindney/Documents/git/furyengine/fury3d/engine/Fury/PhysicsWorld.cpp,263,25012549,0.297250,191,130955,38852,5024343,358149.905877
